rank,name
1,Andy Murray
2,Novak Djokovic
3,Milos Raonic
4,Stan Wawrinka
5,Kei Nishikori
6,Marin Cilic
7,Gael Monfils
8,Dominic Thiem
9,Rafael Nadal
10,Tomas Berdych
11,David Goffin
12,Jo-Wilfried Tsonga
13,Nick Kyrgios
14,Roberto Bautista Agut
15,Lucas Pouille
16,Roger Federer
17,Grigor Dimitrov
18,Richard Gasquet
19,John Isner
20,Ivo Karlovic
21,David Ferrer
22,Pablo Cuevas
23,Jack Sock
24,Alexander Zverev
25,Gilles Simon
